Trial-ID,Status,Iteration,batch_size,lrinit,optimizer,Objective
6,INTERMEDIATE,8,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,INTERMEDIATE,9,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
6,COMPLETED,9,256,1.1293064942922826e-09,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,16622.908203125
7,INTERMEDIATE,0,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,398.5523986816406
7,INTERMEDIATE,1,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.26171875
7,INTERMEDIATE,2,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.0442199707031
7,INTERMEDIATE,3,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,393.9757385253906
7,INTERMEDIATE,4,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.0860595703125
7,INTERMEDIATE,5,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.016357421875
7,INTERMEDIATE,6,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.00323486328125
7,INTERMEDIATE,7,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,393.9580993652344
7,INTERMEDIATE,8,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.0820007324219
7,INTERMEDIATE,9,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,393.9946594238281
7,COMPLETED,9,32,0.00011125364237481166,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,393.9580993652344
8,INTERMEDIATE,0,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,1604.1617431640625
8,INTERMEDIATE,1,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,623.27197265625
8,INTERMEDIATE,2,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,441.4375305175781
8,INTERMEDIATE,3,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,405.8789367675781
8,INTERMEDIATE,4,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,401.7340087890625
8,INTERMEDIATE,5,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,400.60089111328125
8,INTERMEDIATE,6,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,399.8281555175781
8,INTERMEDIATE,7,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,399.1578063964844
8,INTERMEDIATE,8,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,398.5317077636719
8,INTERMEDIATE,9,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,397.93695068359375
8,COMPLETED,9,32,8.656719262748499e-06,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,397.93695068359375
9,INTERMEDIATE,0,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,1,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,2,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,3,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,4,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,5,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,6,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,7,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,8,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,INTERMEDIATE,9,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
9,COMPLETED,9,256,6.0699280520703695e-09,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,16622.908203125
10,INTERMEDIATE,0,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,403.7411193847656
10,INTERMEDIATE,1,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,400.12725830078125
10,INTERMEDIATE,2,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.3570251464844
10,INTERMEDIATE,3,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.1202392578125
10,INTERMEDIATE,4,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.0433044433594
10,INTERMEDIATE,5,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.0186462402344
10,INTERMEDIATE,6,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.00518798828125
10,INTERMEDIATE,7,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.99139404296875
10,INTERMEDIATE,8,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.97296142578125
10,INTERMEDIATE,9,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.9489440917969
10,COMPLETED,9,128,1.9176417243942337e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.9489440917969
11,INTERMEDIATE,0,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,404.9801940917969
11,INTERMEDIATE,1,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,400.4903259277344
11,INTERMEDIATE,2,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.5210266113281
11,INTERMEDIATE,3,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.1950378417969
11,INTERMEDIATE,4,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.0755615234375
11,INTERMEDIATE,5,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.03125
11,INTERMEDIATE,6,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.0130310058594
11,INTERMEDIATE,7,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,399.0022277832031
11,INTERMEDIATE,8,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.9915771484375
11,INTERMEDIATE,9,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.9740295410156
11,COMPLETED,9,128,1.6964691000696439e-07,<class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>,398.9740295410156
12,INTERMEDIATE,0,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,454.85089111328125
12,INTERMEDIATE,1,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,406.2590026855469
12,INTERMEDIATE,2,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,393.82647705078125
12,INTERMEDIATE,3,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.0281066894531
12,INTERMEDIATE,4,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.04046630859375
12,INTERMEDIATE,5,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,393.9672546386719
12,INTERMEDIATE,6,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,393.9983825683594
12,INTERMEDIATE,7,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.06207275390625
12,INTERMEDIATE,8,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.1541748046875
12,INTERMEDIATE,9,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,394.1435852050781
12,COMPLETED,9,256,0.0010527146303793164,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,393.82647705078125
13,INTERMEDIATE,0,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,12933.1787109375
13,INTERMEDIATE,1,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,10590.4853515625
13,INTERMEDIATE,2,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,8943.005859375
13,INTERMEDIATE,3,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,7709.0625
13,INTERMEDIATE,4,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,6745.73486328125
13,INTERMEDIATE,5,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,5970.994140625
13,INTERMEDIATE,6,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,5333.61474609375
13,INTERMEDIATE,7,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,4800.51416015625
13,INTERMEDIATE,8,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,4348.2861328125
13,INTERMEDIATE,9,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,3960.09423828125
13,COMPLETED,9,64,6.24382679455197e-07,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,3960.09423828125
14,INTERMEDIATE,0,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16603.001953125
14,INTERMEDIATE,1,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16581.283203125
14,INTERMEDIATE,2,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16562.044921875
14,INTERMEDIATE,3,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16541.130859375
14,INTERMEDIATE,4,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16521.09375
14,INTERMEDIATE,5,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16498.84375
14,INTERMEDIATE,6,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16479.873046875
14,INTERMEDIATE,7,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16459.0859375
14,INTERMEDIATE,8,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16438.005859375
14,INTERMEDIATE,9,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16419.240234375
14,COMPLETED,9,32,2.7912870046835262e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16419.240234375
15,INTERMEDIATE,0,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16617.966796875
15,INTERMEDIATE,1,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16612.552734375
15,INTERMEDIATE,2,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16606.330078125
15,INTERMEDIATE,3,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16600.76953125
15,INTERMEDIATE,4,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16595.306640625
15,INTERMEDIATE,5,32,2.6495396002059578e-08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,16588.54296875
